arch,name,approach,time[ms]_Average,device_energy[j]_Average,host_energy[j]_Average,time[ms]_Stdev,device_energy[j]_Stdev,host_energy[j]_Stdev,time[ms]_Min,device_energy[j]_Min,host_energy[j]_Min,time[ms]_Max,device_energy[j]_Max,host_energy[j]_Max,time[ms]_Median,device_energy[j]_Median,host_energy[j]_Median
AMD,srad,phase,5555.0,319.707,636.1074000000001,18.01110768387108,6.431920863941032,7.013453146631833,5531.0,311.82,627.331,5576.0,329.185,643.764,5547.0,321.545,637.412
AMD,ace,app,229.2,150.09199999999996,224.16439999999997,0.4,25.849566843566254,6.803879381646915,229.0,99.28,214.352,230.0,170.265,235.341,229.0,160.435,223.758
AMD,ace,kernel,148.6,162.34700000000004,213.0066,0.4898979485566356,5.684797797635377,6.07400334540573,148.0,156.805,207.398,149.0,171.8,224.06,149.0,159.18,211.056
AMD,ace,phase,138.4,95.649,196.4316,0.4898979485566356,8.58432664802546,16.23262262975395,138.0,85.51,176.146,139.0,109.495,217.59,138.0,96.23,203.0
AMD,metropolis,app,,,,,,,,,,,,,,,
AMD,metropolis,kernel,,,,,,,,,,,,,,,
AMD,metropolis,phase,,,,,,,,,,,,,,,
AMD,aop,app,114.4,135.751,300.92859999999996,6.2801273872430325,0.9738449568591505,4.620128812057082,105.0,134.4,295.784,122.0,137.02,306.506,115.0,135.905,298.818
AMD,aop,kernel,160.4,125.26199999999999,305.0562,3.7202150475476548,0.7102295403600175,4.9549757779428125,155.0,124.17,300.444,166.0,126.355,313.204,161.0,125.14,302.296
AMD,aop,phase,104.2,108.35499999999999,298.22580000000005,2.2271057451320084,0.7737376816466952,5.222085039522065,101.0,106.895,289.258,106.0,109.155,303.35,106.0,108.67,299.184
AMD,mnist,app,3376051.0,158.75500000000002,383.8145,56407.42565478414,2.838577108341432,5.432248673431646,3305600.0,155.325,375.636,3495940.0,165.05,396.311,3361895.0,157.86,383.15
AMD,mnist,kernel,3634600.0,148.805,414.7889,19354.180426977528,1.384678663083972,5.463471358943873,3592400.0,146.92,408.275,3662790.0,151.58,427.854,3636270.0,148.58249999999998,413.00649999999996
AMD,mnist,phase,3346737.0,142.0515,379.60720000000003,28961.214770793023,1.4207868418591163,4.915216532361505,3297110.0,139.31,371.326,3399240.0,144.235,386.597,3343550.0,142.135,380.395
