mean_time,median_time,min_time,max_time,std_time,mean_energy,median_energy,min_energy,max_energy,std_energy,name
47192.137931034486,41788.0,19118,80563,18799.391070541427,13563.569655172414,12180.9,5470.85,23649.0,5313.276267353104,miniweather_hiding
89388.10344827586,77731.0,47769,170175,34535.98034694586,24222.420689655173,21217.9,12974.5,45475.8,9321.060066414095,miniweather_per_kernel
48105.86666666667,46825.0,14896,103152,18951.544720469465,15148.321333333333,14934.0,4758.52,32521.5,6010.818562249315,miniweather_no_hiding
163284.8620689655,151752.0,76658,282986,60974.29509328626,41293.45862068966,38419.3,19475.1,71509.8,15388.72281095843,miniweather_per_app
